"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Volume (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Advanced Micro Devices Inc","AMD.O","NASDAQ","200.15","-","-","199.90","-0.12%","200.12","203.37","204.87","198.56","-3.22","-1.58%","36,317,256","May 05, 2026","20/02","326,330,000,000","34,640,000,000","36,143,318","2.61","76.64","1.95","-","-","Buy","Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","-1.58%","-3.46%","-22.92%","-6.54%","80.58%","150.97%"
"ITM Power","ITM.L","LON","64.50","64.50","75.00","--","--","64.30","64.00","65.80","64.00","+0.50","+0.78%","1,642,858","Sep 15, 2026","20/02","398,200,000","28,530,000","2,043,852","-0.0499","-12.93","2.28","-","-","Strong Sell","Strong Sell","Strong Sell","Sell","Neutral","Neutral","Neutral","Neutral","0.78%","8.59%","-8.51%","3.53%","104.89%","-33.91%"
"Qualcomm Incorporated","QCOM.O","NASDAQ","142.88","-","-","142.11","-0.54%","140.31","141.27","144.07","140.10","+1.61","+1.14%","10,265,141","May 06, 2026","20/02","152,450,000,000","44,870,000,000","9,372,302","4.8987","29.15","1.24","3.56","2.49%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Buy","Sell","Strong Sell","Strong Sell","1.14%","1.55%","-8.30%","-16.47%","-13.63%","13.22%"
"NVIDIA Corporation","NVDA.O","NASDAQ","189.82","-","-","190.00","0.09%","186.57","187.90","190.33","185.94","+1.92","+1.02%","178,422,337","Feb 25, 2026","20/02","4.61T","187,140,000,000","174,156,804","4.0402","46.97","2.27","0.04","0.02%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","1.02%","3.83%","1.15%","1.78%","41.20%","702.15%"
"Intel Corporation","INTC.O","NASDAQ","44.11","-","-","44.00","-0.27%","43.89","44.62","44.39","42.88","-0.51","-1.14%","90,743,566","Apr 23, 2026","20/02","220,340,000,000","52,850,000,000","103,716,926","-0.06","-737.00","1.38","-","-","Sell","Neutral","Neutral","Sell","Strong Sell","Strong Sell","Buy","Strong Buy","-1.14%","-5.73%","-2.13%","19.54%","77.36%","72.24%"
"Shopify Inc","SHOP.O","NASDAQ","126.20","-","-","127.00","0.63%","122.26","123.80","131.01","120.74","+2.40","+1.94%","14,668,878","Apr 30, 2026","20/02","164,580,000,000","11,560,000,000","10,284,557","0.94","133.23","2.82","-","-","Strong Sell","Sell","Neutral","Buy","Buy","Neutral","Strong Sell","Buy","1.94%","11.98%","-8.48%","-21.60%","9.21%","197.78%"
"Thermo Fisher Scientific Inc","TMO","NYSE","510.93","-","-","512.00","0.21%","510.69","515.12","514.88","506.51","-4.19","-0.81%","1,362,529","Apr 29, 2026","20/02","191,960,000,000","44,560,000,000","2,155,851","17.74","28.76","0.95","1.72","0.34%","Strong Buy","Strong Buy","Buy","Neutral","Sell","Strong Sell","Strong Sell","Buy","-0.81%","1.21%","-18.38%","-11.83%","-4.06%","-7.26%"
"Lloyds Banking Group PLC","LLOY.L","LON","104.15","100.70","107.00","--","--","103.65","102.00","104.85","102.60","+2.15","+2.11%","156,634,770","Apr 29, 2026","20/02","61,070,000,000","18,630,000,000","174,372,285","0.07","15.09","0.978","3.65","3.5%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral","Strong Buy","Strong Buy","2.11%","3.74%","2.46%","6.02%","54.99%","100.29%"
"Rolls-Royce Holdings PLC","RR.L","LON","1,336.00","1,320.00","1,365.00","--","--","1,327.00","1,324.00","1,351.00","1,324.00","+12.00","+0.91%","30,140,794","Feb 26, 2026","20/02","111,590,000,000","19,540,000,000","23,780,488","0.6843","19.64","1.22","10.5","0.79%","Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.91%","5.11%","6.62%","16.17%","118.51%","903.76%"
"Adobe Systems Incorporated","ADBE.O","NASDAQ","258.61","-","-","258.55","-0.02%","255.00","259.21","262.08","254.36","-0.60","-0.23%","6,590,752","Mar 12, 2026","20/02","106,160,000,000","23,770,000,000","4,956,187","16.7","15.39","1.51","-","-","Strong Buy","Strong Buy","Buy","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-0.23%","-2.03%","-14.10%","-26.11%","-41.80%","-25.48%"
"Alphabet Inc Class C","GOOG.O","NASDAQ","314.90","-","-","315.26","0.11%","304.80","303.56","316.76","304.42","+11.34","+3.74%","33,663,143","Apr 28, 2026","20/02","3.81T","402,840,000,000","23,608,436","10.8006","29.26","1.09","0.84","0.27%","Strong Sell","Buy","Strong Buy","Strong Buy","Buy","Neutral","Buy","Strong Buy","3.74%","2.90%","-4.12%","0.35%","73.42%","245.78%"
"Apple Inc","AAPL.O","NASDAQ","264.58","-","-","264.38","-0.08%","258.97","260.58","264.75","258.16","+4.00","+1.54%","42,070,499","Apr 30, 2026","20/02","3.88T","435,620,000,000","48,292,196","7.8846","33.54","1.09","1.04","0.39%","Strong Buy","Strong Buy","Strong Buy","Buy","Neutral","Sell","Neutral","Strong Buy","1.54%","3.44%","6.67%","-2.68%","7.75%","77.10%"
"Microsoft Corporation","MSFT.O","NASDAQ","397.23","-","-","397.05","-0.07%","396.11","398.46","400.12","395.16","-1.23","-0.31%","34,015,249","Apr 28, 2026","20/02","2.95T","305,450,000,000","31,181,631","15.9805","24.88","1.08","3.64","0.92%","Sell","Sell","Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Sell","-0.31%","-1.02%","-14.75%","-17.86%","-2.69%","55.92%"
"Tesla Inc","TSLA.O","NASDAQ","411.82","-","-","411.25","-0.14%","408.30","411.71","414.70","405.50","+0.11","+0.03%","57,912,225","Apr 28, 2026","20/02","1.55T","94,830,000,000","67,341,793","1.08","380.04","1.89","-","-","Strong Buy","Strong Buy","Strong Buy","Neutral","Strong Sell","Strong Sell","Sell","Strong Buy","0.03%","-1.35%","-8.29%","-8.43%","21.91%","103.80%"
"Great Western Mining Corp Plc","GWMO.L","LON","1.650","1.600","1.900","--","--","1.725","1.725","1.750","1.600","-0.075","-4.35%","5,716,782","--","20/02","6,210,000","","11,254,429","-0.0355","-0.55","-","-","-","Neutral","Neutral","Sell","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Sell","-4.35%","0.00%","26.92%","32.00%","-45.00%","-92.43%"
"iRobot Corporation","IRBTQ.PK","OTC","0.05","-","-","--","--","0.17","0.16","0.19","0.05","-0.11","-66.97%","8,431,136","--","23/01","1,590,000","547,000,000","21,175,685","-6.4242","-0.01","1.1","-","-","Strong Buy","Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-66.97%","-68.05%","-64.41%","-54.55%","-99.39%","-99.89%"
"Alien Metals Ltd","UFO.L","LON","0.17","0.13","0.18","--","--","0.16","0.16","0.18","0.15","+0.01","+6.25%","99,313,237","--","20/02","19,730,000","","151,235,945","-0.0002","-11.48","-","-","-","Strong Buy","Buy","Strong Buy","Neutral","Buy","Neutral","Strong Buy","Neutral","6.25%","-4.49%","9.68%","30.77%","126.67%","-66.67%"
